,Year,Season,Avg_Tmax,Avg_Tmean,Total_Rainfall
48,1991,Autumn,15.30989010989011,11.63956043956044,121.5
49,1991,Spring,13.846739130434784,9.873913043478261,87.8
50,1991,Summer,21.882608695652173,17.275,207.5
51,1991,Winter,6.978888888888889,3.92,116.39999999999999
52,1992,Autumn,14.349450549450548,10.68901098901099,223.6
53,1992,Spring,15.709782608695651,11.285869565217391,190.1
54,1992,Summer,22.17717391304348,17.791304347826088,169.5
55,1992,Winter,8.12967032967033,5.073626373626373,66.2
56,1993,Autumn,12.95164835164835,9.74945054945055,248.8
57,1993,Spring,14.93804347826087,10.525,123.1
58,1993,Summer,21.730434782608697,16.930434782608696,102.7
59,1993,Winter,8.906666666666666,6.098888888888888,139.3
60,1994,Autumn,15.483516483516484,12.263736263736265,205.4
61,1994,Spring,14.055434782608694,10.025,173.4
62,1994,Summer,23.480434782608693,18.494565217391305,66.1
63,1994,Winter,9.219999999999999,5.98,185.9
64,1995,Autumn,16.42087912087912,12.604395604395604,142.7
65,1995,Spring,15.159782608695652,10.227173913043478,96.4
66,1995,Summer,24.638461538461538,19.26153846153846,31.7
67,1995,Winter,8.351111111111111,5.415555555555556,268.4
68,1996,Autumn,15.346153846153847,11.447252747252747,148.4
69,1996,Spring,12.73913043478261,8.554347826086957,82.3
70,1996,Summer,23.37608695652174,17.993478260869566,86.6
71,1996,Winter,6.604395604395604,4.148351648351649,103.5
72,1997,Autumn,16.223076923076924,12.435164835164834,98.8
73,1997,Spring,16.120652173913044,11.220652173913043,49.4
74,1997,Summer,23.23586956521739,18.73478260869565,140.8
75,1997,Winter,8.755555555555556,5.65,112.6
76,1998,Autumn,14.694505494505496,11.578021978021978,262.0
77,1998,Spring,14.917391304347827,10.998913043478261,165.6
78,1998,Summer,21.659782608695654,17.09130434782609,133.1
79,1998,Winter,10.19111111111111,6.874444444444445,124.4
80,1999,Autumn,15.927472527472528,12.517582417582416,167.1
81,1999,Spring,15.52608695652174,11.294565217391304,96.4
82,1999,Summer,22.68586956521739,17.898913043478263,231.6
83,1999,Winter,8.97888888888889,5.978888888888889,167.0
84,2000,Autumn,15.198901098901098,11.884615384615385,360.7
85,2000,Spring,14.429347826086957,10.492391304347825,202.8
86,2000,Summer,21.75108695652174,17.46630434782609,104.3
87,2000,Winter,9.271428571428572,6.434065934065934,152.6
88,2001,Autumn,15.616483516483516,12.282417582417583,201.6
89,2001,Spring,13.85,9.872826086956522,187.8
90,2001,Summer,22.918478260869566,18.181521739130435,153.3
91,2001,Winter,7.6644444444444435,4.891111111111111,162.6
92,2002,Autumn,15.882417582417581,12.457142857142856,232.6
93,2002,Spring,15.269565217391303,10.988043478260868,142.4
94,2002,Summer,21.9,17.610869565217392,177.7
95,2002,Winter,9.959999999999999,7.178888888888889,234.0
96,2003,Autumn,16.212087912087913,12.141758241758243,157.4
97,2003,Spring,15.917391304347827,11.181521739130435,85.5
98,2003,Summer,24.23932584269663,19.43370786516854,86.8
99,2003,Winter,8.397777777777778,5.45,146.2
100,2004,Autumn,15.626373626373626,12.524175824175824,145.1
101,2004,Spring,14.72717391304348,10.602173913043478,144.2
102,2004,Summer,22.93913043478261,18.273913043478263,185.8
103,2004,Winter,8.834065934065935,6.0175824175824175,144.6
104,2005,Autumn,16.636263736263736,12.913186813186812,150.1
105,2005,Spring,14.606521739130434,10.502173913043478,93.4
106,2005,Summer,23.089130434782607,18.21413043478261,120.8
107,2005,Winter,8.372222222222222,5.564444444444445,85.7
108,2006,Autumn,12.696666666666665,9.053333333333335,98.0
109,2006,Spring,11.686885245901639,8.027868852459017,78.0
110,2006,Winter,8.197777777777777,5.654444444444445,121.6
111,2007,Autumn,13.460655737704919,10.021311475409835,122.60000000000001
112,2007,Spring,16.403260869565216,11.828260869565218,127.4
